Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Lucas Matheus,£5K  £16K,2.07,94,JD Cymru Premier,,,,7.4,0.81,193,,,0.05,,0.17,,0.17,0.15,13%,5.18,0.96,25%,3.22,0.81,25%,21,12.2km,0.77,46.78,39.11,13.38,12.35,4.83,0.27,1.19,0.15,0.5,1.27,2.42,16.41,0.65,1.69,1.04,70%,2.07,86%,84%,6.71,0.04,0.12,0.65,
Trn,  ,Ifeanyi Ogundare,£0,1.27,97,JD Cymru Premier,,,,6.1,0.25,124,5%,915.5,0.1,,0.25,0.1,0.25,0.14,22%,2.8,0.39,6%,4.03,0.25,6%,5,13.0km,1.28,47.33,39.37,17.06,12.98,5.75,0.69,1.82,0.39,0.44,1.38,2.02,12.88,0.93,1.77,0.69,46%,1.47,79%,83%,6.88,0.05,0.05,0.93,
,  ,Matt Reid,£0,0.86,60,JD Cymru Premier,,,,6.71,0.29,185,33%,"2,480.00",0.04,,0.03,0.04,0.03,0.3,100%,3.92,0.73,11%,2.61,0.29,11%,8,12.3km,0.44,45.98,38.72,13.68,15.46,5.15,0,0.11,0.11,1.02,1.71,2.1,11.72,0.98,1.89,0.33,58%,2.07,74%,84%,6.97,0.11,0.04,0.98,
,  ,Ezra Carrington,£5K  £16K,1.56,109,JD Cymru Premier,,,,4.14,0.38,197,2%,"2,141.50",0.15,,0.2,0.04,0.2,0.11,26%,2.23,0.15,18%,2.02,0.38,19%,18,12.2km,1.26,46.17,41.04,13.34,11.03,5.4,0.53,1.85,0.48,0.5,1.07,2.4,14.29,0.78,2.44,0.4,54%,2,67%,89%,8.47,0.13,0.27,0.78,0.15
,  ,Ben Llewellyn,£5K  £16K,1.48,97,JD Cymru Premier,,,,6.68,0.91,256,15%,345.1,0.12,,0.2,0.26,0.2,0.11,49%,3.6,0.05,17%,5.29,0.91,17%,35,12.4km,1.98,36.88,31.24,12.23,15.44,2.16,0.52,1.75,0.86,0.34,1.28,1.41,3.81,1.75,2.97,0,54%,1.77,77%,85%,10.48,0,0.1,1.75,0.18
,  ,Cian Williams,£0,1.3,59,JD Cymru Premier,,,,7.34,0.08,181,,,0.13,,0.03,,0.03,0.2,0%,5.03,0.77,4%,1.95,0.08,4%,2,11.7km,0.77,46.54,39.04,8.84,12.41,4.66,0,0.16,0,0.65,1.05,2.68,17.19,0.57,1.54,1.26,69%,1.82,82%,84%,6.16,0.16,0.2,0.57,0.08
Trn,  ,Jahmari Lindsay,£0,1.18,80,JD Cymru Premier,,,,5.36,0.46,82,29%,689,0.11,,0.04,0.13,0.04,0.08,71%,3,0.26,16%,2.74,0.46,17%,7,12.2km,0.78,45.33,36.77,12.8,12.41,5.62,0.13,0.46,0.33,0.59,1.7,1.96,14.7,1.24,1.76,0.2,56%,1.7,74%,81%,7.45,0.2,0.2,1.24,
Int,  ,Walter Lythcott,£1.5K  £4K,1.69,97,JD Cymru Premier,,,,5.47,0.51,161,7%,882.33,0.11,,0.15,0.1,0.15,0.1,21%,2.92,0.31,11%,6.09,0.65,11%,15,11.9km,1.36,47.64,39.64,15.03,12.04,5.27,0.54,1.46,0.31,0.48,1.6,1.9,13.12,0.99,2.55,0.24,53%,2.41,86%,83%,7.51,0,0.24,1.39,0.03
,  ,Michael Bishop,£2.5K  £8K,1.66,80,JD Cymru Premier,,,,6.65,0.63,200,,,0.02,,0.03,,0.03,0.12,0%,4.43,0.63,19%,3.29,0.63,19%,19,12.5km,0.63,43.89,37,14.64,12.78,5.22,0.07,0.27,0,0.7,1.96,2.16,16.27,0.8,2.36,0.8,67%,2.46,81%,84%,8.22,0.17,0.03,0.8,0.03
Ask,  ,Ryan Brown,£0,1.73,91,JD Cymru Premier,,,,6.95,0.74,168,17%,362.5,0.06,,0.14,0.25,0.14,0.1,28%,4.8,0.33,26%,2.77,0.74,27%,18,12.4km,0.62,43.94,36.41,15.27,15.93,4.97,0.62,1.49,0.41,0.5,1.78,2.23,10.39,1.28,2.11,0.29,69%,2.32,92%,83%,6.41,0.29,0.12,1.28,0.04
