Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Wnt,  ,Nino Milić,£120K  £375K,1.46,114,Greek Super League 1,,,,4.98,0.24,125,,,0.14,,0,,0,0.03,0%,3.46,0.28,13%,3.46,0.68,20%,6,12.4km,1.07,47.93,41.48,14.01,12.1,6.85,0.12,0.16,0,0.92,1.39,2.95,13.22,1.23,2.51,0.64,70%,3.3,85%,87%,8.36,0.12,0.44,1.23,0.12
,  ,Vasilis Fakitsas,£100K  £300K,0.97,100,Greek Super League 1,,,,4.75,0.62,138,7%,"2,613.00",0,,0.05,0.03,0.05,0.09,20%,3.55,0.48,18%,3.38,0.62,18%,18,11.8km,0.96,41.13,34.99,13.64,16.12,4.79,0.14,0.52,0.1,0.79,1.31,3.17,9.37,0.93,2.2,0.9,75%,2.1,82%,85%,9.92,0.28,,0.93,
,  ,Jordan Hackett,£3.7M  £11M,1.23,115,cinch Premiership,,,,3.71,0.28,120,17%,"2,910.00",0.1,,0.01,0.03,0.01,0.05,50%,2.63,0.28,11%,2.44,0.28,11%,9,12.5km,1.02,47.47,41.41,15.59,12.31,5.81,0.06,0.19,0.09,0.77,1.14,2.78,13.05,0.9,2.72,1.08,71%,3.06,85%,87%,9.62,0.12,0.15,0.9,
,  ,Simon Christensson,£2M  £6M,2.07,127,Greek Super League 1,,,,3.54,0.59,36,,,0.07,,0.17,,0.17,0.13,21%,2.26,0.3,20%,2.95,0.59,20%,6,13.5km,1.58,45.1,38.89,18.22,13.39,5.02,0.69,1.38,0.3,0.49,1.18,1.97,8.76,0.89,3.45,0,64%,3.15,86%,86%,8.96,0,,0.89,0.1
,  ,Lan Hribar,£1.2M  £3.6M,1,109,Greek Super League 1,,,,3.65,0.37,118,,,0.11,,0.06,,0.06,0.16,25%,2.17,0.25,15%,2.35,0.37,16%,12,12.1km,1.89,44.6,39.4,13.28,13.03,4.77,0.15,0.37,0.09,0.71,1.18,2.57,13.77,0.62,2.97,0.8,59%,2.85,78%,88%,8.57,0.19,0.31,0.62,0.03
,  ,Julio Alonso,£10K  £30K,1,96,Greek Super League 1,,,,4.64,0.32,146,25%,"2,833.00",0.2,,0.01,0.03,0.01,0.06,25%,2.61,0.29,12%,7.91,1.02,13%,10,12.3km,1.02,47.81,41.58,13.47,12.52,5.94,0.06,0.13,0.03,0.7,1.3,2.48,11.63,0.98,2.41,0.51,56%,3.02,82%,87%,8.61,0.16,0.35,0.98,0.1
,  ,Vicente Durand,£18K  £55K,0.94,96,Greek Super League 1,,,,5.75,0.36,79,100%,"1,236.00",0.05,,0.01,0.07,0.01,0.07,100%,3.79,0.15,9%,3.79,0.36,10%,5,11.8km,1.89,46.53,37.65,10.05,20.24,5.17,0.07,0.07,0.07,0.51,1.09,2.55,7.28,0.36,2.18,0.36,66%,2.69,97%,81%,6.84,0,,0.36,
,  ,Alberto Billi,£2.2M  £6.8M,1.71,127,Greek Super League 1,,,,6.19,0.28,112,,,0.03,,0.02,,0.02,0.14,0%,4.97,0.72,20%,1.38,0.28,20%,5,12.5km,1.16,48.73,42.82,12.6,12.21,4.59,0.06,0.17,0,0.66,1.27,2.1,12.15,0.66,1.55,0.39,80%,1.88,81%,88%,7.35,0.06,0.11,0.66,
,  ,JeanClaude Ntenda,£0,1.32,95,Greek Super League 1,,,,6.24,0.54,105,,,0.06,,0.02,,0.02,0.17,50%,4.52,0.59,13%,3.98,0.54,13%,9,12.3km,0.83,44.88,37.45,14.15,16.17,5.41,0.06,0.12,0.06,0.95,1.37,2.32,11.53,1.31,2.44,0.83,72%,2.5,88%,83%,8.14,0.06,0.18,1.31,0.06
,  ,Roko Jureškin,£750K  £2.2M,0.9,106,Eredivisie,,,,4.14,0.9,92,,,0.08,,0.01,,0.01,0.04,33%,2.56,0.18,27%,4.23,0.94,22%,20,12.6km,1.08,46.87,40.03,14.17,16.46,5.85,0.04,0.13,0.04,0.58,1.39,2.11,9.49,1.17,2.7,0.22,62%,2.88,85%,85%,8.37,0.09,0.13,1.66,0.04
Inj,  ,Brian Plat,£0,1.73,103,Eredivisie,,,,6,0.12,49,,,0.04,,0.03,,0.03,0.12,0%,3.06,0.24,7%,1.71,0.12,7%,1,12.5km,0.24,46.41,40.9,11.63,13.1,4.78,0.12,0.24,0,0.49,1.84,2.08,12.12,1.1,1.59,0.12,51%,1.35,73%,88%,7.59,0.12,0.12,1.1,
Wnt,  ,Thomas van den Bos,£2.4M  £7.2M,1.21,126,Eredivisie,,,,4.89,0.24,161,,,0.01,,0,,0,0,,2.55,0.52,10%,2.25,0.24,11%,8,12.6km,1.06,46.61,39.38,16.65,16.5,5.47,0,,,0.7,1.34,2.7,13.64,1.15,2.64,1,52%,3.19,76%,84%,8.93,0.24,0.09,1.15,0.03
,  ,Henry Koelewijn,£4.3M  £13M,1.33,132,Eredivisie,,,,5.01,0.56,142,,,0.04,,0,,0,0,,3.1,0.42,24%,3.53,0.78,22%,16,12.2km,0.95,48.01,42.87,14.03,12.62,6.2,0,,,0.56,1.23,2.01,13.75,0.99,2.71,0.74,62%,3.14,75%,89%,9.24,0.25,0.11,0.99,
Wnt,  ,Ilay Feingold,£7.8M  £23M,1.85,135,Eredivisie,,,,3.91,0.09,126,,,0.15,,0.02,,0.02,0.06,27%,1.8,0.09,7%,1.18,0.09,8%,3,12.8km,1.68,47.48,41.86,14.35,12.73,6.3,0.12,0.34,0.09,0.56,0.93,2.39,12.58,0.87,2.36,0.5,46%,3.07,86%,88%,8.73,0.09,0.16,0.87,0.06
Int,  ,Saud Abdulhamid,£2.9M  £8.8M,1.7,132,Eredivisie,,,,3.95,0.32,125,,,0.12,,0.06,,0.06,0.12,25%,1.74,0.13,19%,1.61,0.32,20%,10,12.4km,1.74,63.53,57.68,14.34,12.51,7.96,0.22,0.51,0.13,0.38,0.95,2.15,12.67,1.3,2.08,0.38,44%,2.84,90%,91%,8.34,0.09,0.25,1.3,0.13
Int,  ,Kilian Tiffner,£9M  £27M,1.57,132,Eredivisie,,,,5.39,0.32,184,,,0.05,,0.03,,0.03,0.14,13%,2.58,0.59,17%,1.81,0.32,18%,11,12.9km,1.64,49.64,43.96,14.34,16.57,6.64,0.09,0.23,0.03,0.5,0.85,2.69,12.12,0.91,2.75,0.59,48%,2.81,79%,89%,8.55,0.06,0.18,0.91,0.09
Int,  ,Rémy Vita,£26K  £80K,1.21,109,Eredivisie,,,,3.78,0.62,116,,,0.14,,0,,0,0.04,0%,1.99,0.13,21%,2.84,0.62,22%,19,12.8km,1.92,44.92,39.47,15.27,14.65,5.45,0,0.1,0,0.98,1.4,2.25,12.07,0.85,2.58,0.52,53%,3.07,85%,88%,9.69,0.13,0.07,0.85,0.16
,  ,Mil De Coster,£1.5M  £4.5M,1.54,121,Eredivisie,,,,3.11,0.24,39,,,0.07,,0.01,,0.01,0.1,0%,1.67,0,9%,2.55,0.24,9%,3,11.9km,0.4,47.43,39.94,13.15,14.91,5.74,0,0.08,0,0.64,1.12,2.47,14.11,1.04,2.79,1.12,54%,3.19,82%,84%,8.05,0.48,,1.04,0.08
,  ,Ethan Sauvage,£1.3M  £3.9M,1.69,116,Eredivisie,,,,3.74,0.06,58,14%,"1,396.00",0.09,,0.03,0.06,0.03,0.07,29%,2.13,0.13,2%,2.45,0.06,3%,1,12.6km,1.03,45.19,38.3,16.5,16.89,3.48,0.32,0.45,0.13,0.84,1.68,2.84,11.73,0.71,2.26,1.29,57%,3.22,94%,85%,8.57,0.26,0.13,0.71,0.13
Wnt,  ,Rusmir Huric,£1.3M  £3.9M,0.77,121,Eredivisie,,,,4.26,0.17,126,,,0.02,,0.01,,0.01,0.15,100%,2.54,0.27,7%,2.2,0.17,8%,5,12.7km,0.95,47.59,41.8,15.69,14.64,6.19,0,0.03,0.03,1.05,1.29,2.64,10.28,0.61,2.2,0.3,60%,2.84,87%,88%,8.52,0.24,0.03,0.61,
Wnt,  ,Sven Altmannshofer,£2M  £6M,1.38,121,Eredivisie,,,,5.17,0.38,123,,,0.03,,0.01,,0.01,0.08,33%,3.53,0.55,16%,2.27,0.38,17%,9,12.4km,1.22,47.88,41.78,16.6,17.02,6.31,0.08,0.13,0.04,0.92,1.43,2.27,12.91,0.67,2.82,0.71,68%,3.99,89%,87%,9.71,0.21,0.08,0.67,
,  ,John Baffoe,£4.1M  £12.5M,0.69,125,Eredivisie,,,,4.91,0.38,52,20%,953,0.07,,0.05,0.09,0.05,0.1,40%,2.17,0.47,11%,3.31,0.38,11%,4,12.8km,0.76,45.33,40.61,16.62,18.98,4.72,0.09,0.47,0.19,0.38,0.66,2.17,11.33,0.94,2.46,0.85,44%,3.49,95%,90%,8.78,0.19,,0.94,
Wnt,  ,Noah Katterbach,£1.4M  £4.1M,1.03,119,Eredivisie,,,,4.84,0.98,114,,,0.09,,0.01,,0.01,0.06,40%,2.76,0.42,18%,5.18,0.98,19%,23,13.0km,2.16,37.85,32.25,14.34,15.79,3.52,0.17,0.21,0.08,0.47,0.98,2.89,10.91,0.93,2.72,0.38,57%,2.5,75%,85%,11.58,0.13,0.13,0.93,0.04
Wnt,  ,Anton Ekeroth,£1.8M  £5.6M,0.91,115,Eredivisie,,,,5.09,0.1,157,,,0.05,,0,,0,0.06,0%,3.27,0.78,4%,2.27,0.1,4%,3,12.5km,1.46,46.25,40.41,13.51,14.49,5.25,0,0.03,0,0.58,1.39,2.14,10.24,1.26,2.24,0.84,64%,2.88,75%,87%,9.37,0.16,0.06,1.26,0.03
,  ,Rivas Manuhutu,£850K  £2.6M,0.6,114,Eredivisie,,,,4.74,0.27,70,,,0.07,,0,,0,0.02,0%,2.98,0.54,11%,2.44,0.27,11%,4,13.3km,0.81,47.5,41.95,15.5,17.93,5.89,0,0.07,0,0.74,1.42,2.77,7.58,1.15,2.37,0.27,63%,2.77,76%,88%,8.86,0.2,0.2,1.15,
Wnt,  ,Roni Dehadi,£8.4M  £25M,1.74,138,Eredivisie,,,,5.21,0.14,216,14%,"3,728.00",0.05,,0.02,0.02,0.02,0.12,43%,3.43,0.39,11%,1.23,0.14,12%,6,12.5km,1.16,47.9,42.42,14,15.26,6.35,0.05,0.17,0.07,0.77,0.77,2.46,13.01,0.7,2.44,1.04,66%,3.28,87%,89%,9.22,0.05,0.17,0.7,0.07
,  ,KiJana Hoever,£1.2M  £3.6M,1.35,126,Eredivisie,,,,5.12,0.26,79,,,0.07,,0.02,,0.02,0.06,75%,3.24,0.32,8%,2.98,0.26,9%,4,12.6km,1.36,42.89,37.13,13.74,11.4,5.31,0.13,0.26,0.19,0.84,1.43,2.27,11.79,1.1,3.3,0.52,63%,2.92,75%,87%,8.94,0.19,,1.17,
,  ,Massimo Greeven,£1.7M  £5M,1.51,117,Eredivisie,,,,3.85,0.45,121,,,0.03,,0,,0,0,,1.97,0.13,18%,2.36,0.45,19%,14,12.2km,0.99,45.32,39.94,16.64,15.82,5.82,0,,,0.64,1.02,2.64,10.66,0.73,2,0.45,51%,2.83,95%,88%,8.66,0.13,0.06,0.73,0.03
,  ,Berkan Keskin,£1.6M  £4.8M,1.23,114,Eredivisie,,,,4.44,0.42,126,,,0.02,,0.03,,0.03,0.07,14%,3.06,0.11,15%,2.68,0.42,16%,12,12.7km,1.69,43.98,38.2,18.35,13.73,4.08,0.14,0.49,0.07,0.74,1.48,2.29,9.68,0.6,2.99,0.81,69%,2.89,84%,87%,9.37,0.28,0.07,0.6,
,  ,Kyriani Sabbe,£1.1M  £3.4M,1.5,115,Eredivisie,,,,4.12,0.27,75,9%,"1,640.00",0.11,,0.11,0.05,0.11,0.18,27%,1.98,0.11,13%,2.09,0.27,13%,5,12.5km,1.59,45.6,39.51,13.94,13.5,4.34,0.22,0.6,0.16,0.44,1.43,2.36,13.34,0.77,2.03,0.6,48%,2.63,94%,87%,8.45,0.27,0.11,0.77,0.05
,  ,Jorrel Hato,Not for Sale,1.79,163,Eredivisie,,,,6.01,0.1,231,,,0.09,,0.03,,0.03,0.12,10%,3.98,0.62,13%,0.75,0.1,14%,4,11.7km,0.62,54.55,49.63,9.27,4.66,6.38,0.05,0.26,0.03,0.44,0.99,2.21,17.23,0.75,2.47,0.91,66%,2.6,78%,91%,6.53,0.36,0.1,0.75,
,  ,Leo Woldekidan,£1M  £3M,0.85,119,Eredivisie,,,,4.38,0.85,57,,,0.02,,0.01,,0.01,0.13,0%,1.92,0,30%,2.77,0.85,31%,11,12.7km,1.31,48.69,40.54,14.15,21.23,6.46,0,0.08,0,0.54,0.54,3.15,6.54,0.85,1.62,0.77,44%,1.77,72%,83%,7.85,0.08,0.15,0.85,0.08
Wnt,  ,Sergio Carreira,£1.4M  £4.1M,1.59,121,Eredivisie,,,,3.57,0.37,115,,,0.14,,0.03,,0.03,0.1,25%,1.74,0.09,16%,2.3,0.37,16%,12,12.5km,1.92,48.49,43.71,13.99,14.83,6.89,0.09,0.25,0.06,0.5,0.99,2.76,12.81,0.87,2.7,0.96,49%,3.07,88%,90%,9,0.16,0.19,0.87,0.06
Wnt,  ,Casper Zinckernagel,£1.4M  £4.2M,1.24,125,Eredivisie,,,,3.86,0.65,83,,,0.03,,0.01,,0.01,0.08,50%,1.49,0.14,9%,6.69,0.65,10%,14,13.0km,2.14,38.26,33.19,15.85,14.18,3.86,0,0.09,0.05,0.84,1.07,3.53,10.65,0.79,2.93,0.88,39%,2.84,85%,87%,11.99,0.09,0.05,0.79,0.05
,  ,Devyne Rensch,Not for Sale,1.7,141,Eredivisie,,,,4.52,0.36,174,6%,"3,466.00",0.12,,0.07,0.03,0.07,0.16,6%,2.52,0.31,25%,1.43,0.36,25%,14,12.6km,1.69,55.65,50.06,13.24,11.71,7.19,0.05,0.44,0.03,0.47,0.91,2.49,12.72,0.83,2.16,0.34,56%,2.47,75%,90%,7.87,0.26,0.21,0.83,0.08
Wnt,  ,Elijah Dijkstra,£45K  £130K,1.42,114,Eredivisie,,,,5.42,0.25,154,9%,"2,558.00",0.05,,0.03,0.04,0.03,0.08,27%,2.99,0.35,9%,2.5,0.25,10%,7,12.8km,1.34,46.16,38.46,14.64,17.84,5.38,0.11,0.39,0.11,0.53,1.3,2.29,11.29,1.06,2.32,0.46,55%,2.74,83%,83%,8.34,0.14,0.14,1.06,0.04
Wnt,  ,Ümit Akdağ,£6.2M  £18.5M,2.24,129,Eredivisie,,,,4.85,0.3,177,,,0.03,,0.01,,0.01,0.06,67%,3.34,0.74,12%,2.47,0.3,12%,11,12.7km,1.12,47.92,42.16,15.3,12.45,6.39,0,0.08,0.05,0.38,1.18,2.22,16.04,0.69,2.74,1.04,69%,3.45,89%,88%,9.49,0.11,0.05,0.69,0.03
,  ,Maxim Nenakhov,£110K  £325K,1.21,102,Eredivisie,,,,4.39,0.27,146,18%,"1,496.50",0.1,,0.04,0.06,0.04,0.12,18%,2.2,0.3,11%,2.32,0.27,12%,9,13.0km,0.57,46.04,40.9,16.81,16.03,5.86,0.03,0.33,0.06,0.63,1.26,2.23,12.69,1.02,2.53,0.87,50%,2.71,83%,89%,8.9,0.21,0.24,1.02,0.03
,  ,Rob Jacobs,£1.1M  £3.3M,1.5,118,Eredivisie,,,,4.72,0.12,157,6%,"2,991.00",0.07,,0.08,0.03,0.08,0.16,12%,3.01,0.45,5%,2.38,0.12,5%,4,12.4km,0.87,47.33,42.64,13.18,13.66,6.08,0.12,0.51,0.06,0.6,1.14,2.26,10.95,0.57,2.38,0.45,64%,2.53,83%,90%,8.06,0.09,0.15,0.57,0.03
Wnt,  ,Lucas Pires,£1.5M  £4.4M,1.59,123,Eredivisie,,,,5.37,0.28,193,,,0.09,,0.07,,0.07,0.2,0%,3.56,0.36,11%,2.5,0.28,11%,10,12.6km,1.45,47.48,41.16,14.25,12.47,6.62,0.03,0.33,0,0.78,1.2,2.56,11.86,1.31,2.37,0.53,66%,2.5,84%,87%,8.6,0.11,0.25,1.31,0.06
Wnt,  ,Stéphane Secretário,£500K  £1.5M,0.93,118,Eredivisie,,,,4.07,0.44,102,,,0.04,,0.02,,0.02,0.07,14%,2.11,0.2,23%,1.87,0.44,23%,11,12.6km,0.76,46.12,40.5,15.74,19.61,5.38,0.08,0.28,0.04,0.68,1.67,1.99,11.16,1,2.03,0.44,52%,2.39,79%,88%,8.09,0.16,0.12,1,
,  ,Owen Wijndal,Not for Sale,1.35,122,Eredivisie,,,,5.06,0.56,144,22%,"1,281.00",0.12,,0.03,0.07,0.03,0.11,33%,3.34,0.39,19%,2.88,0.56,20%,16,12.2km,1.12,46.26,41.03,13.84,18.48,6.85,0.11,0.32,0.11,0.53,1.19,1.83,9.66,1.33,2.49,0.21,66%,3.2,81%,89%,9.41,0.11,0.14,1.33,0.11
,  ,Luuk Steffens,£45K  £140K,1.29,101,Eredivisie,,,,8.67,0,205,,,0.01,,0.03,,0.03,0.08,22%,6.77,1.35,,0.04,0,0%,0,10.7km,0.04,54.14,46.86,4.53,4.57,2.96,0.17,0.38,0.08,0.51,1.86,1.35,8.97,0.21,1.27,0.38,78%,1.02,73%,87%,3.43,0.17,,0.21,
,  ,Essien Bassey,£2.2M  £6.6M,0.94,120,Eredivisie,,,,6.06,0.73,198,,,0.1,,0.04,,0.04,0.09,6%,4.44,0.52,25%,2.85,0.73,26%,24,12.5km,1.07,45.47,40.52,13.89,13.99,4.53,0.21,0.49,0.03,0.86,1.5,2.6,9.36,0.98,2.2,0.64,73%,1.99,71%,89%,7.74,0.18,0.03,0.98,0.09
Wnt,  ,Danila Zaikin,£4.9M  £15M,1.52,127,Eredivisie,,,,3.82,0.23,117,,,0.11,,0.02,,0.02,0.09,20%,2.09,0.2,10%,2.09,0.23,11%,7,12.6km,1.66,45.59,40.86,15.17,16.38,5.09,0.03,0.16,0.03,0.85,1.4,2.41,10.51,0.95,2.28,0.39,55%,2.55,84%,90%,8.22,0.16,0.13,0.95,0.07
,  ,Jordan Zemura,£3.6M  £11M,1.48,122,Eredivisie,,,,4.11,0.23,109,,,0.11,,0.01,,0.01,0.07,0%,2.11,0.23,8%,2.6,0.23,9%,6,12.5km,1.62,47.83,42.13,16.82,12.26,6.75,0.04,0.15,0,0.94,1.24,2.3,11.69,1.4,2.56,0.6,51%,2.75,79%,88%,8.94,0.04,0.15,1.4,0.04
Res,  ,Desley Boogers,£50K  £150K,0.87,84,Eredivisie,,,,6.65,0.48,69,,,0.01,,0.03,,0.03,0.09,0%,3.95,0.48,14%,3.28,0.48,15%,5,12.5km,0.87,45.48,38.45,16.19,26.5,5.4,0.1,0.29,0,0.77,1.93,1.83,3.66,1.45,2.79,0.58,59%,2.6,84%,85%,5.78,0.1,,1.45,
Opt,  ,Isak Määttä,£1.6M  £4.7M,1.22,120,Eredivisie,,,,5.11,0.2,157,,,0.08,,0.01,,0.01,0.18,0%,2.67,0.52,7%,2.54,0.2,8%,6,12.5km,1.3,47.2,41.4,14.29,13.31,5.79,0,0.03,0,0.52,1.2,2.77,11.23,0.91,2.41,0.29,52%,2.6,76%,88%,8.92,0.13,0.16,0.91,0.07
Ret,  ,Leonardo Sernicola,£3K  £9K,0.93,107,Eredivisie,,,,4.02,0.28,87,,,0.11,,0.05,,0.05,0.12,30%,2.49,0.46,11%,3.33,0.42,13%,6,12.0km,0.46,46.89,40.43,13.17,12.47,5.54,0.23,0.46,0.14,0.65,1.48,2.45,12.15,1.29,2.73,0.37,62%,2.82,81%,86%,9.47,0.18,0.05,1.29,0.14
Wnt,  ,Ties Lammers,£1.9M  £5.8M,1.41,121,Eredivisie,,,,5.57,0.59,104,,,0.06,,0.05,,0.05,0.18,0%,3.54,1.02,32%,1.82,0.59,32%,11,12.5km,0.8,46.53,41.22,14.26,17.37,5.57,0,0.27,0,0.38,0.86,2.57,12.92,0.7,2.09,0.64,63%,2.41,80%,89%,8.2,0.11,0.32,0.7,
Wnt,  ,Bart van Rooij,£85K  £250K,2.14,119,Eredivisie,,,,6.11,0.25,220,,,0.08,,0.02,,0.02,0.12,20%,3.89,0.78,12%,2.39,0.28,12%,9,13.1km,1.42,44.42,39.39,16.82,13.94,5.8,0.08,0.14,0.03,0.58,1.33,1.92,13.38,0.83,2.64,0.56,64%,2.39,77%,89%,8.44,0.11,0.08,0.94,0.17
,  ,Nikola Mašić,£550K  £1.6M,0.75,107,Eredivisie,,,,4.32,0.28,92,,,0.05,,0.05,,0.05,0.12,33%,1.93,0.14,12%,2.35,0.28,12%,6,12.7km,0.89,44.46,39.38,15.65,20.16,4.7,0.14,0.42,0.14,0.52,1.46,1.97,10.06,0.61,2.44,0.47,45%,2.49,77%,89%,7.61,0.05,0.05,0.61,
,  ,Fábio Moreira,£1.4M  £4.3M,1.06,127,Ligue 1 Uber Eats,,,,6.9,0.35,98,33%,"1,279.00",0.01,,0.01,0.07,0.01,0.05,33%,4.36,0.99,33%,1.06,0.35,33%,5,11.3km,0.63,56.65,51.37,8.37,7.67,4.08,0.07,0.21,0.07,0.49,1.48,1.62,9.15,0.42,1.55,0.28,63%,2.25,89%,91%,6.05,0.14,,0.42,0.07
Wnt,  ,Hubertus De Poorter,£2.7M  £8.2M,1.92,135,Portuguese Premier League,,,,5.44,0.34,113,,,0.05,,0.03,,0.03,0.05,0%,2.07,0.38,14%,2.31,0.34,15%,7,12.9km,0.87,49.02,44.69,14.67,13.47,6.16,0.29,0.53,0,0.38,0.48,2.31,12.7,0.58,2.07,0.67,38%,2.12,75%,91%,8.66,0.1,0.1,0.58,0.05
,  ,Dario Naamo,£900K  £2.8M,1.57,127,Ligue 1 Uber Eats,,,,4.2,0,78,,,0.07,,0.03,,0.03,0.07,44%,1.88,0.32,,2.05,0,0%,0,13.0km,1.02,47.8,42.85,15.83,16.36,5.6,0.11,0.48,0.22,0.75,1.08,1.61,12,0.86,2.64,0.48,45%,3.12,85%,90%,8.72,0.11,0.05,0.86,0.05
Wnt,  ,Miha Kompan Breznik,£475K  £1.4M,0.83,127,Ligue 1 Uber Eats,,,,5.33,0.42,152,,,0.09,,0,,0,0.01,0%,3.58,0.81,18%,6.28,0.77,12%,12,12.4km,0.95,46.77,40.63,14.06,15.18,6.28,0,0.04,0,1.05,1.75,2.1,13.29,1.23,3.05,1.12,67%,3.58,81%,87%,8.8,0.18,0.25,1.23,0.11
Int,  ,Emmanuel Attipoe,£750K  £2.2M,1.25,115,Portuguese Premier League,,,,4.13,0.46,126,17%,"2,743.00",0.07,,0.02,0.03,0.02,0.08,50%,2.17,0.3,16%,2.72,0.46,17%,14,12.6km,1.18,47.51,41.05,15.06,16.01,6.14,0.03,0.2,0.1,0.75,1.41,2.07,12.3,1.12,2.76,0.69,52%,2.99,81%,86%,8.92,0.16,0.13,1.12,0.1
Wnt,  ,Thierno Baldé,£10.5M  £31M,0.86,135,Ligue 1 Uber Eats,,,,4.91,0.32,137,17%,"2,512.00",0.07,,0.02,0.04,0.02,0.08,17%,3.26,0.43,23%,1.4,0.32,23%,9,13.0km,1.29,50.41,45.97,14.3,11.79,7.63,0.11,0.21,0.04,0.54,1,2.26,14.15,0.9,2.4,1.04,66%,2.72,83%,91%,8.31,0.21,0.07,0.9,
,  ,Tomas Chudy,£60M  £179M,2.32,161,Ligue 1 Uber Eats,,,,4.99,0.25,218,8%,"3,932.00",0.05,,0.02,0.02,0.02,0.08,38%,3.11,0.34,14%,1.79,0.25,14%,11,12.7km,1.6,62.08,56.4,13.53,16.5,7.12,0.07,0.3,0.11,0.3,0.55,2.56,13.64,0.69,2.93,0.62,62%,3.14,83%,91%,8.1,0.05,0.07,0.69,0.11
Int,  ,Adrian Bajrami,Not for Sale,1.09,127,Portuguese Premier League,,,,6.97,0.03,243,10%,"1,569.00",0.03,,0.07,0.06,0.07,0.12,29%,4.67,0.95,5%,0.49,0.03,6%,1,11.3km,0.37,53.46,47.98,6.37,5.13,4.76,0.2,0.6,0.17,0.49,1.29,1.29,14.71,0.43,1.29,0.8,67%,1.41,83%,90%,3.99,0.23,0.09,0.43,0.03
,  ,Filippo Terracciano,£11M  £32M,1.39,134,Ligue 1 Uber Eats,,,,5.77,0.29,199,6%,"3,106.00",0.11,,0.04,0.03,0.04,0.08,25%,3.59,0.35,20%,1.39,0.29,21%,10,12.9km,1.33,48.16,43.58,14.31,16.63,7.1,0.06,0.46,0.12,0.58,0.9,2.58,10.84,0.75,3.07,0.64,62%,3.3,82%,90%,8.32,0.32,0.32,0.75,0.12
,  ,Lorenz Assignon,£6.2M  £18.5M,1.49,136,Ligue 1 Uber Eats,,,,4.81,0.18,182,14%,"3,408.00",0.12,,0.01,0.03,0.01,0.03,14%,2.61,0.37,12%,1.43,0.18,13%,7,12.2km,1.56,53.87,49.09,13.81,13.63,7.29,0.11,0.18,0.03,0.53,0.85,2.64,13.2,0.98,2.43,0.77,54%,2.77,82%,91%,9.01,0.11,0.18,0.98,0.11
Wnt,  ,Hélder Sá,£1.6M  £4.9M,0.64,116,Portuguese Premier League,,,,5.23,0.41,165,,,0.07,,0.03,,0.03,0.1,25%,3.52,0.38,18%,2.28,0.41,18%,13,12.7km,1.36,46.87,41.14,15.52,13.02,6.3,0.1,0.25,0.06,0.57,0.95,2.88,11.53,1.14,2.12,0.82,67%,2.53,86%,88%,9.47,0.1,0.06,1.14,0.03
,  ,Enrico Esposito,£1M  £3M,0.8,124,Portuguese Premier League,,,,4.62,0.36,65,,,0.03,,0.02,,0.02,0.08,0%,3.13,0.07,22%,1.56,0.36,23%,5,12.0km,0.92,50.9,44.15,13.44,13.93,5.19,0.07,0.21,0,1,1.07,2.56,8.39,0.78,1.35,0.64,68%,1.56,76%,87%,7.61,0.14,,0.78,
,  ,Marco Palestra,£14M  £42M,1.58,136,Ligue 1 Uber Eats,,,,6.16,0.11,175,,,0.09,,0.02,,0.02,0.05,7%,4.3,0.35,9%,1.09,0.11,10%,3,12.6km,1.23,48.4,44.17,14.44,10.64,7.43,0.39,0.49,0.04,0.77,0.88,2.64,13.42,0.92,2.61,0.85,70%,3.17,80%,91%,8.38,0.42,0.14,1.02,0.07
,  ,Alexandre Azevedo,£14M  £42M,1.49,136,Ligue 1 Uber Eats,,,,3.64,0.1,150,11%,"3,707.00",0.08,,0.02,0.02,0.02,0.1,22%,1.77,0.24,6%,1.51,0.1,6%,4,12.7km,1.85,46.76,41.08,14.45,15.42,6.99,0.12,0.22,0.05,0.58,1.04,2.52,12.19,1.04,2.86,0.46,49%,3.25,78%,88%,9.27,0.22,0.24,1.04,0.07
,  ,Vasco Gadelho,£375K  £1.2M,1.26,111,Portuguese Premier League,,,,4.06,0.3,82,17%,605.33,0.05,,0.1,0.15,0.1,0.11,44%,1.34,0.05,9%,3.02,0.3,10%,6,12.2km,2.48,38.85,33.3,13.98,15.31,4.26,0.2,0.89,0.4,0.74,1.54,2.28,6.29,1.29,2.53,0.35,33%,2.18,80%,86%,10.16,0.05,0.1,1.29,
